"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"December 16, 2017",2017,"Dec","",3,3,20,"","","","Presumed drowning","Western Mediterranean","35.882833113479"," -5.803099736328"
"December 15, 2017",2017,"Dec",1,"",1,4,"",1,"","Unknown (found on dinghy)","Western Mediterranean","36.125095674655"," -5.169511656055"
"December 14, 2017",2017,"Dec",1,"",1,68,"","","","Drowning","Western Mediterranean","35.938908600000"," -3.180596302148"
"December 13, 2017",2017,"Dec","",2,2,31,"","","","Presumed drowning","Western Mediterranean","36.214401400000"," -3.419552700000"
"December 08, 2017",2017,"Dec",3,5,8,4,"",3,"","Drowning","Central Mediterranean","36.949195213437"," 8.448509527539"
"December 04, 2017",2017,"Dec",3,"",3,40,1,2,"","Presumed drowning","Western Mediterranean","35.317984016666"," -6.323177650000"
"December 04, 2017",2017,"Dec",1,"",1,35,"",1,"","Drowning","Western Mediterranean","36.684664094550"," -3.862161322656"
"December 04, 2017",2017,"Dec",1,"",1,"","",1,1,"Presumed drowning","Western Mediterranean","36.159616714092"," 0.134644935938"
"December 03, 2017",2017,"Dec","",3,3,18,"","","","Presumed drowning","Western Mediterranean","35.876390459221"," -5.811981643750"
"November 30, 2017",2017,"Nov","",28,28,6,4,24,1,"Presumed drowning","Western Mediterranean","35.928564408919"," -5.893536298438"
"November 29, 2017",2017,"Nov",3,1,4,2,"","","","Drowning","Western Mediterranean","35.970153678605"," -5.603076408984"
"November 28, 2017",2017,"Nov",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","36.082470985786"," -6.026000976563"
"November 27, 2017",2017,"Nov",1,"",1,"","",1,"","Unknown","Western Mediterranean","35.290387494344"," -2.926591903613"
"November 25, 2017",2017,"Nov",31,"",31,"",18,"",3,"Drowning","Central Mediterranean","32.801959442053"," 13.720786873047"
"November 25, 2017",2017,"Nov",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.988768038194"," -5.611316155078"
"November 25, 2017",2017,"Nov",1,"",1,"","","","","Presumed drowning","Western Mediterranean","36.178832465467"," -5.909786224365"
"November 25, 2017",2017,"Nov",6,"",6,"","","","","Presumed drowning","Western Mediterranean","35.850559281577"," -5.679503544922"
"November 25, 2017",2017,"Nov",1,"",1,66,"",1,1,"Suffocation","Eastern Mediterranean","39.117926486658"," 26.584397197559"
"November 24, 2017",2017,"Nov",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","36.198825876138"," 0.218307777344"
"November 23, 2017",2017,"Nov",1,20,21,"",1,"","","Sickness and lack of access to medicines","Central Mediterranean","34.060179168559"," 13.059502362500"
"November 23, 2017",2017,"Nov",1,"",1,"","","","","Presumed drowning","Western Mediterranean","36.059764585990"," 0.090699623438"
"November 22, 2017",2017,"Nov","",6,6,107,"",1,"","Presumed drowning","Central Mediterranean","34.405333936080"," 13.982353925000"
"November 22, 2017",2017,"Nov",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","36.055323767952"," 0.076966713281"
"November 19, 2017",2017,"Nov",3,1,4,"","",3,1,"Drowning","Western Mediterranean","35.904917419285"," -5.291584069312"
"November 17, 2017",2017,"Nov",1,"",1,"","","","","Presumed drowning","Western Mediterranean","36.101939856583"," 0.057740639063"
"November 16, 2017",2017,"Nov",1,"",1,"","","","","Drowning","Central Mediterranean","32.811542676207"," 12.897253417969"
"November 12, 2017",2017,"Nov",2,"",2,"","","","","Presumed drowning","Central Mediterranean","32.821929803103"," 12.898626708984"
"November 11, 2017",2017,"Nov",1,"",1,"","",1,1,"Presumed drowning","Eastern Mediterranean","39.343995090707"," 26.383975862793"
"November 11, 2017",2017,"Nov",1,"",1,"",1,"","","Drowning","Eastern Mediterranean","39.328328251178"," 26.428951143555"
"November 09, 2017",2017,"Nov",2,"",2,"","",2,"","Presumed drowning","Western Mediterranean","35.777154148825"," -5.789837326123"
"November 09, 2017",2017,"Nov",1,"",1,"","",1,1,"Presumed drowning","Eastern Mediterranean","39.350632522991"," 26.376079439453"
"November 07, 2017",2017,"Nov",1,"",1,10,"","","","Unknown (found on dinghy)","Western Mediterranean","35.875277696775"," -5.696625198438"
"November 06, 2017",2017,"Nov",5,29,34,106,"","",1,"Presumed drowning","Central Mediterranean","34.341859153473"," 13.828545331250"
"November 06, 2017",2017,"Nov",1,"",1,"",1,"",1,"Presumed drowning","Eastern Mediterranean","39.343198556470"," 26.375392793945"
"November 04, 2017",2017,"Nov",1,"",1,"",1,"","","Fuel burns","Western Mediterranean","35.778176000000"," -5.827966600000"
"November 03, 2017",2017,"Nov",3,7,10,15,1,"","","Drowning","Eastern Mediterranean","37.031187012469"," 27.126068793164"
"November 03, 2017",2017,"Nov",23,53,76,64,23,"","","Drowning","Central Mediterranean","34.000148459845"," 13.053526312500"
"November 03, 2017",2017,"Nov",3,11,14,"",3,"","","Unknown","Central Mediterranean","34.078380455797"," 13.081475018750"
"November 01, 2017",2017,"Nov",8,"",8,142,"","","","Unknown","Central Mediterranean","33.690138498642"," 12.661743164062"
"October 30, 2017",2017,"Oct",2,"",2,12,"",2,"","Presumed drowning","Western Mediterranean","36.076415421565"," 0.045381019922"
"October 29, 2017",2017,"Oct",2,3,5,48,"","","","Presumed drowning","Western Mediterranean","35.839661046921"," -5.787262405469"
"October 26, 2017",2017,"Oct",1,"",1,"","",1,"","Unknown","Western Mediterranean","35.291156590870"," -2.927625956006"
"October 22, 2017",2017,"Oct",8,"",8,"","","","","Presumed drowning","Central Mediterranean","32.679837405805"," 14.299608421484"
"October 22, 2017",2017,"Oct",1,"",1,17,"",1,"","Drowning","Central Mediterranean","35.282888789154"," -2.913308348535"
"October 22, 2017",2017,"Oct",1,"",1,17,"",1,"","Drowning","Western Mediterranean","35.286041628488"," -2.901978697656"
"October 19, 2017",2017,"Oct",1,"",1,"","",1,"","Presumed drowning","Central Mediterranean","32.826545914138"," 12.898626708984"
"October 16, 2017",2017,"Oct",1,"",1,"","","","","Presumed drowning","Central Mediterranean","34.594243427134"," 10.653553136719"
"October 15, 2017",2017,"Oct",1,"",1,23,"","","","Presumed drowning","Central Mediterranean","34.277715802156"," 12.123413085938"
"October 13, 2017",2017,"Oct",28,"",28,"","","","","Presumed drowning","Central Mediterranean","32.657872602092"," 14.283128929297"
"October 11, 2017",2017,"Oct",4,"",4,"","","","","Presumed drowning","Central Mediterranean","34.830052608625"," 10.869882881250"
